Feature,Subfeature,User Persona,Job-to-be-Done,Inputs,Outputs,Dependencies,Key Screens/Routes,Flags/Configs,Limits/Quotas,Evidence
Authentication,User Registration,All Users,Create account to access platform,Email + Password + Profile Data,User Account + JWT Token,D1 Database + KV Sessions,/onboard + /login,OAUTH_PROVIDERS,Rate: 5 registrations/hour,src/lib/auth.ts:1-100
Authentication,OAuth Integration,All Users,Quick sign-in with existing accounts,OAuth Provider Token,Authenticated Session,Google/GitHub APIs,/login,GOOGLE_OAUTH_ENABLED,Provider Rate Limits,src/lib/auth.ts:45-80
Authentication,JWT Management,System,Secure stateless authentication,User Credentials,Access + Refresh Tokens,JWT Library + KV Storage,API Middleware,JWT_EXPIRY_TIME,Token: 24h expiry,src/lib/auth.ts:20-60
Dashboard,Overview Dashboard,All Users,Monitor overall platform performance,User Session,Performance Metrics + Charts,Analytics Service + D1,/dashboard,DASHBOARD_FEATURES,Real-time updates,src/components/Dashboard.tsx:1-300
Dashboard,Content Dashboard,Content Creators,Manage and track content performance,Content Data,Content Analytics + Management UI,Content Service + Analytics,/dashboard?tab=content,CONTENT_GENERATION_ENABLED,10 generations/day (free),src/components/ContentGenerator.tsx:1-200
Dashboard,Analytics Dashboard,Marketers,Analyze campaign performance and ROI,Campaign Data,Charts + Reports + Insights,Analytics Engine + D1,/dashboard?tab=analytics,ANALYTICS_FEATURES,Historical: 90 days,src/components/Analytics.tsx:1-250
Dashboard,Boost Dashboard,Influencers,Discover and apply for brand campaigns,Profile + Preferences,Matched Opportunities + Applications,ML Matching + Campaign DB,/dashboard?tab=boost,BOOST_MATCHING_ENABLED,50 applications/month,src/components/BoostDashboard.tsx:1-200
Dashboard,Earnings Dashboard,Creators,Track revenue and payment status,User Financial Data,Revenue Charts + Payment History,Stripe Integration + D1,/dashboard?tab=earnings,PAYMENTS_ENABLED,Monthly payouts,src/components/EarningsDashboard.tsx:1-150
Dashboard,AI Agents Panel,Power Users,Configure and monitor AI automation,Agent Settings,Agent Status + Performance,AI Workers + Vector DB,/dashboard?tab=agents,AI_AGENTS_ENABLED,5 active agents max,src/components/AgentControlPanel.tsx:1-300
Content Generation,AI Text Generation,Content Creators,Generate engaging social media posts,Prompt + Brand Voice + Platform,Optimized Text Content,AI Workers + LangChain,/content,AI_TEXT_GENERATION,100 generations/month,src/lib/ai/textGeneration.ts:1-100
Content Generation,AI Image Generation,Content Creators,Create custom visuals for posts,Text Prompt + Style Preferences,Generated Images,AI Workers + Stable Diffusion,/content,AI_IMAGE_GENERATION,50 images/month,src/lib/ai/imageGeneration.ts:1-80
Content Generation,Brand Voice Training,Businesses,Customize AI to match brand personality,Brand Guidelines + Sample Content,Trained Voice Model,AI Training Pipeline,/content/brand-voice,BRAND_VOICE_TRAINING,1 voice/account,src/lib/ai/brandVoice.ts:1-120
Content Generation,Content Optimization,All Users,Improve content for viral potential,Raw Content + Target Platform,Optimized Content + Suggestions,Trend Analysis + AI,/content/optimize,CONTENT_OPTIMIZATION,Unlimited,src/lib/ai/optimization.ts:1-90
Content Generation,Trend Integration,Content Creators,Incorporate trending topics into content,Content + Current Trends,Trend-Aware Content,Google Trends API + Social APIs,/content/trends,TRENDS_INTEGRATION,Real-time updates,src/lib/trends/integration.ts:1-150
Influencer Matching,Profile Discovery,Brands,Find relevant influencers for campaigns,Brand Requirements + Budget,Ranked Influencer List,ML Algorithms + User DB,/matches,INFLUENCER_DISCOVERY,1000 searches/month,src/lib/ml/matching.ts:1-200
Influencer Matching,Audience Analysis,Brands,Understand influencer audience demographics,Influencer Profile,Audience Insights + Overlap Analysis,Social Media APIs + Analytics,/matches/profile/:id,AUDIENCE_ANALYSIS,50 analyses/month,src/lib/analytics/audience.ts:1-120
Influencer Matching,Compatibility Scoring,System,Calculate brand-influencer fit percentage,Brand + Influencer Data,Compatibility Score + Reasoning,ML Models + Vector Similarity,/matches/compatibility,COMPATIBILITY_SCORING,Automatic,src/lib/ml/compatibility.ts:1-180
Influencer Matching,Campaign Applications,Influencers,Apply for brand partnership opportunities,Profile + Portfolio,Application Status + Feedback,Campaign Management + Notifications,/matches/apply,CAMPAIGN_APPLICATIONS,25 applications/month,src/lib/campaigns/applications.ts:1-100
Campaign Management,Project Creation,Brands,Set up new influencer marketing campaigns,Campaign Brief + Requirements,Campaign Project + Workflow,Project Management + D1,/campaigns/create,CAMPAIGN_CREATION,10 active campaigns,src/lib/campaigns/creation.ts:1-150
Campaign Management,Collaboration Tools,Teams,Coordinate campaign execution with team,Project Data + Team Members,Shared Workspace + Communication,Real-time Sync + WebSockets,/campaigns/:id/collaborate,COLLABORATION_TOOLS,50 team members,src/lib/collaboration/tools.ts:1-200
Campaign Management,Asset Organization,Content Teams,Manage campaign assets and deliverables,Files + Metadata,Organized Asset Library,R2 Storage + Metadata DB,/campaigns/:id/assets,ASSET_MANAGEMENT,10GB storage/campaign,src/lib/assets/organization.ts:1-100
Campaign Management,Performance Tracking,Marketers,Monitor campaign KPIs and ROI,Campaign Metrics,Real-time Dashboards + Reports,Analytics Pipeline + D1,/campaigns/:id/analytics,CAMPAIGN_ANALYTICS,Real-time tracking,src/lib/analytics/campaigns.ts:1-180
